nome_mun,nome_meso,renocup,cpr,emp,p_agro,p_com,p_serv,p_transf,p_formal,popul,pib,porte
Campos Altos,Triângulo Mineiro/Alto Paranaíba,949.13,17.81,0.14,46.23,10.53,30.71,3.69,57.79,14151,170940.55800000002,pequenoI
Campos Gerais,Sul/Sudoeste de Minas,744.47,18.93,1.23,57.93,7.56,25.34,3.8,43.49,27443,282617.482,pequenoII
Canaã,Zona da Mata,614.4,33.15,1.5,56.45,6.98,20.26,12.78,22.5,4604,36360.292,pequenoI
Canápolis,Triângulo Mineiro/Alto Paranaíba,1105.82,15.97,1.14,28.52,10.13,30.54,21.65,58.58,11307,208976.181,pequenoI
Cana Verde,Oeste de Minas,672.07,18.6,0.94,39.47,8.89,29.08,10.42,52.91,5546,41113.705,pequenoI
Candeias,Oeste de Minas,792.41,26.08,1.89,43.43,10.69,26.27,9.23,45.69,14484,128160.76699999999,pequenoI
Cantagalo,Vale do Rio Doce,549.65,8.43,1.1,38.39,6.43,35.65,8.91,30.99,4186,21138.053,pequenoI
Caparaó,Zona da Mata,581.38,17.3,1.11,67.91,8.14,19.6,1.3,27.04,5200,46432.166,pequenoI
Capela Nova,Campo das Vertentes,440.12,23.65,0.81,48.71,11.6,24.83,5.59,29.55,4742,24541.805,pequenoI
Capelinha,Jequitinhonha,732.19,17.55,1.45,36.8,14.86,32.87,5.52,43.39,34552,256075.799,pequenoII
Capetinga,Sul/Sudoeste de Minas,858.46,19.3,1.18,47.09,9.29,24.5,9.53,51.46,6983,59623.698,pequenoI
Capim Branco,Metropolitana de Belo Horizonte,814.07,16.56,0.88,11.37,10.53,37.21,20.91,69.79,8839,62321.903,pequenoI
Capinópolis,Triângulo Mineiro/Alto Paranaíba,1557.01,15.17,2.46,21.44,12.81,36.38,21.37,66.49,15192,206239.565,pequenoI
Capitão Andrade,Vale do Rio Doce,591.6,21.61,0.68,41.0,9.49,30.91,3.96,28.39,4919,25713.563,pequenoI
Capitão Enéas,Norte de Minas,613.16,15.93,0.48,30.37,10.71,35.37,11.35,47.28,14169,155584.646,pequenoI
Capitólio,Sul/Sudoeste de Minas,972.07,24.06,2.3,21.51,10.92,42.9,9.65,56.49,8110,106156.531,pequenoI
Caputira,Zona da Mata,433.03,22.73,0.78,67.44,6.57,19.83,1.72,29.17,9023,47658.974,pequenoI
Caraí,Jequitinhonha,399.36,21.92,0.4,51.25,6.4,25.33,3.18,25.67,22175,100764.75,pequenoII
Caranaíba,Campo das Vertentes,488.45,16.68,0.0,44.17,9.0,29.86,2.07,40.93,3285,15434.886,pequenoI
Carandaí,Campo das Vertentes,823.06,20.89,2.4,23.77,13.7,35.61,10.74,57.95,23270,397736.349,pequenoII
Carangola,Zona da Mata,873.57,23.05,2.74,21.71,14.58,44.87,7.73,53.96,32065,291208.95399999997,pequenoII
Caratinga,Vale do Rio Doce,1031.55,26.36,2.28,17.73,20.7,42.48,6.22,59.71,84526,859125.324,medioI
Carbonita,Jequitinhonha,567.38,14.88,1.51,43.3,8.58,35.31,3.32,47.18,9122,52832.27099999999,pequenoI
Careaçu,Sul/Sudoeste de Minas,818.55,19.02,1.76,32.97,9.58,29.47,14.94,62.97,6249,69178.442,pequenoI
Carlos Chagas,Vale do Mucuri,823.24,19.5,1.31,31.52,14.86,36.09,5.56,51.07,19975,254136.555,pequenoI
Carmésia,Vale do Rio Doce,706.05,13.96,2.34,28.99,6.5,49.51,1.41,45.43,2437,14838.317,pequenoI
Carmo da Cachoeira,Sul/Sudoeste de Minas,822.31,12.26,0.77,47.49,7.77,26.25,6.53,69.15,11673,116838.21,pequenoI
Carmo da Mata,Oeste de Minas,813.46,17.82,1.03,22.57,10.04,30.78,23.81,63.61,10844,90425.636,pequenoI
Carmo de Minas,Sul/Sudoeste de Minas,823.88,13.57,1.36,31.28,9.43,37.8,7.42,70.94,13656,99879.09199999999,pequenoI
Carmo do Cajuru,Oeste de Minas,860.32,20.46,1.66,19.2,12.61,33.61,23.55,65.32,19937,227890.527,pequenoI
Carmo do Paranaíba,Triângulo Mineiro/Alto Paranaíba,1074.64,22.09,1.62,30.82,14.65,33.86,7.97,54.85,29357,359631.479,pequenoII
Carmo do Rio Claro,Sul/Sudoeste de Minas,981.54,32.79,1.59,41.24,9.58,27.5,8.46,51.98,20308,222871.307,pequenoII
Carmópolis de Minas,Oeste de Minas,929.82,22.67,1.3,23.05,9.36,30.88,17.18,53.32,16952,202127.36399999997,pequenoI
Carneirinho,Triângulo Mineiro/Alto Paranaíba,1036.49,18.01,2.16,29.47,9.34,31.75,16.93,62.45,9416,167392.828,pequenoI
Carrancas,Campo das Vertentes,926.11,22.68,2.15,32.46,8.14,40.42,5.3,46.7,3873,32866.516,pequenoI
Carvalhópolis,Sul/Sudoeste de Minas,855.9,40.25,4.1,46.2,9.78,25.02,11.45,48.99,3327,31064.857000000004,pequenoI
Carvalhos,Sul/Sudoeste de Minas,816.45,28.56,2.14,45.71,11.86,27.25,4.78,27.31,4526,26796.655,pequenoI
Casa Grande,Metropolitana de Belo Horizonte,620.7,17.13,0.22,43.36,4.27,38.53,2.22,52.88,2244,20478.365,pequenoI
Cascalho Rico,Triângulo Mineiro/Alto Paranaíba,1127.49,30.19,1.36,55.75,7.34,28.82,5.15,46.66,2838,32333.959,pequenoI
Cássia,Sul/Sudoeste de Minas,1094.15,17.78,1.99,31.17,9.99,33.35,14.0,55.61,17316,190153.00699999998,pequenoI
Conceição da Barra de Minas,Campo das Vertentes,788.41,20.25,0.6,44.42,5.79,30.7,4.56,45.75,3919,23636.865,pequenoI
Cataguases,Zona da Mata,1058.56,18.77,1.43,5.31,17.78,44.03,19.55,71.31,69329,1015919.19,medioI
Catas Altas,Metropolitana de Belo Horizonte,871.75,17.99,0.16,12.46,9.77,37.48,2.08,67.76,4829,297630.938,pequenoI
Catas Altas da Noruega,Metropolitana de Belo Horizonte,509.37,22.26,1.77,40.67,7.9,32.47,1.78,36.1,3459,14708.822,pequenoI
Catuji,Vale do Mucuri,424.44,17.77,0.71,52.47,5.07,24.36,4.0,22.2,6670,34616.116,pequenoI
Catuti,Norte de Minas,438.76,18.65,0.88,45.95,7.49,31.66,3.01,29.85,5071,23889.641,pequenoI
Caxambu,Sul/Sudoeste de Minas,1459.4,20.99,2.75,7.89,16.66,53.32,7.28,70.2,21489,198694.81100000002,pequenoII
Cedro do Abaeté,Central Mineira,638.99,17.39,0.5,40.96,5.26,44.41,4.13,35.08,1210,9627.526,pequenoI
Central de Minas,Vale do Rio Doce,1036.71,30.8,1.3,23.86,13.35,39.69,4.38,31.83,6764,38445.761,pequenoI
Centralina,Triângulo Mineiro/Alto Paranaíba,802.95,22.3,0.09,20.24,10.44,41.03,9.42,47.33,10246,92196.19699999999,pequenoI
Chácara,Zona da Mata,733.67,25.76,1.11,27.47,12.21,39.44,5.08,59.31,2787,23414.071,pequenoI
Chalé,Zona da Mata,585.51,32.7,1.55,53.2,7.08,27.46,4.67,29.69,5588,30375.391,pequenoI
Chapada do Norte,Jequitinhonha,523.17,5.46,0.0,53.5,4.49,29.53,6.87,63.76,15179,53142.176,pequenoI
Chapada Gaúcha,Norte de Minas,473.08,15.56,0.57,52.27,6.22,29.8,2.58,26.38,10640,74931.504,pequenoI
Chiador,Zona da Mata,798.26,21.71,0.42,20.65,8.09,45.11,7.75,63.33,2747,23844.653,pequenoI
Cipotânea,Zona da Mata,421.17,48.8,0.78,43.12,9.78,23.51,17.66,27.25,6519,27421.216,pequenoI
Claraval,Sul/Sudoeste de Minas,938.54,31.55,1.16,40.55,5.08,22.21,23.46,40.09,4524,52246.649000000005,pequenoI
Claro dos Poções,Norte de Minas,462.89,19.07,1.04,51.6,7.88,26.41,6.81,32.7,7775,44926.132000000005,pequenoI
Cláudio,Oeste de Minas,950.31,16.39,3.62,11.69,11.11,29.7,31.66,72.75,25500,321375.087,pequenoII
Coimbra,Zona da Mata,703.71,34.53,1.42,38.81,10.87,31.46,8.19,44.76,7017,58386.037000000004,pequenoI
Coluna,Vale do Rio Doce,479.62,20.09,0.14,54.38,6.65,27.47,3.64,20.47,8953,40787.63,pequenoI
Comendador Gomes,Triângulo Mineiro/Alto Paranaíba,947.9,26.3,1.32,43.65,4.62,25.49,3.65,57.22,2967,76787.741,pequenoI
Comercinho,Jequitinhonha,363.03,17.22,0.35,55.97,5.33,23.01,5.25,22.96,8289,39108.159,pequenoI
Conceição da Aparecida,Sul/Sudoeste de Minas,907.86,36.41,1.51,59.21,6.9,24.64,3.32,33.8,9757,100777.288,pequenoI
Conceição das Pedras,Sul/Sudoeste de Minas,740.93,43.89,0.46,62.42,6.18,25.35,1.59,35.88,2746,24352.187,pequenoI
Conceição das Alagoas,Triângulo Mineiro/Alto Paranaíba,1391.07,14.95,3.29,16.86,10.3,34.27,25.54,63.42,22675,490189.545,pequenoII
Conceição de Ipanema,Vale do Rio Doce,741.03,28.39,0.84,61.49,6.14,22.94,4.35,28.86,4441,23510.787999999997,pequenoI
Conceição do Mato Dentro,Metropolitana de Belo Horizonte,631.39,22.29,1.3,33.34,8.29,35.63,3.02,39.07,17835,155894.568,pequenoI
Conceição do Pará,Oeste de Minas,856.2,17.36,0.48,23.25,6.35,34.34,20.51,59.66,5134,159511.094,pequenoI
Conceição do Rio Verde,Sul/Sudoeste de Minas,712.5,14.88,0.93,40.53,11.5,31.14,7.36,65.36,12840,111534.35800000001,pequenoI
Conceição dos Ouros,Sul/Sudoeste de Minas,817.9,22.04,1.55,15.67,10.22,25.7,36.37,59.73,10343,116202.435,pequenoI
Cônego Marinho,Norte de Minas,313.13,11.1,0.48,55.21,4.12,24.83,3.78,25.77,7101,29366.925,pequenoI
Confins,Metropolitana de Belo Horizonte,945.6,18.1,0.41,8.25,10.33,54.08,11.93,72.49,5908,581144.846,pequenoI
Congonhal,Sul/Sudoeste de Minas,850.6,25.58,1.54,27.03,12.03,29.17,22.15,45.63,10348,107961.914,pequenoI
Congonhas,Metropolitana de Belo Horizonte,1282.65,15.23,0.63,2.98,11.23,44.38,6.55,77.9,48442,1922673.6809999999,pequenoII
Congonhas do Norte,Metropolitana de Belo Horizonte,507.78,13.43,0.23,37.87,10.58,31.13,0.26,34.32,4927,21024.92,pequenoI
Conquista,Triângulo Mineiro/Alto Paranaíba,1086.44,13.84,1.2,24.04,8.21,37.4,22.85,72.22,6477,117839.31800000001,pequenoI
Conselheiro Lafaiete,Metropolitana de Belo Horizonte,1197.28,18.22,2.17,3.52,16.43,43.16,12.84,72.48,116043,1129940.656,medioII
Conselheiro Pena,Vale do Rio Doce,766.13,26.57,2.51,30.79,13.25,36.16,6.23,39.1,22044,159757.49599999998,pequenoII
Consolação,Sul/Sudoeste de Minas,534.51,28.35,0.2,59.88,3.81,22.17,7.1,31.93,1708,12519.573999999999,pequenoI
Contagem,Metropolitana de Belo Horizonte,1237.3,19.47,1.47,0.95,18.2,46.44,15.97,72.54,600466,19142636.355,grandeI
Coqueiral,Sul/Sudoeste de Minas,714.57,19.94,2.21,53.59,11.26,24.72,3.99,57.65,9258,80683.637,pequenoI
Coração de Jesus,Norte de Minas,396.8,26.97,1.18,45.91,9.54,28.4,7.18,20.27,25906,128518.679,pequenoII
Cordisburgo,Metropolitana de Belo Horizonte,684.21,25.55,0.69,32.07,10.06,36.99,6.56,45.36,8633,53759.244000000006,pequenoI
Cordislândia,Sul/Sudoeste de Minas,765.95,17.29,0.73,58.37,5.03,24.64,3.2,53.68,3367,31907.074,pequenoI
Corinto,Central Mineira,789.88,21.51,1.03,18.98,17.6,39.61,7.7,56.29,23774,163944.624,pequenoII
Coroaci,Vale do Rio Doce,560.79,17.06,0.76,35.7,10.02,33.65,1.5,28.84,10248,54097.099,pequenoI
Coromandel,Triângulo Mineiro/Alto Paranaíba,1161.31,22.8,2.18,34.1,14.21,32.05,5.57,50.55,27290,479056.44700000004,pequenoII
Coronel Fabriciano,Vale do Rio Doce,1146.15,17.21,1.71,1.99,17.52,41.82,19.76,69.22,103319,920040.1059999999,medioII
Coronel Murta,Jequitinhonha,404.26,23.28,1.68,45.6,9.51,24.22,2.67,32.9,9083,42341.062000000005,pequenoI
Coronel Pacheco,Zona da Mata,743.94,18.17,0.38,24.31,9.69,45.17,8.25,61.72,2973,21770.541,pequenoI
Coronel Xavier Chaves,Campo das Vertentes,864.07,24.35,2.06,24.43,14.31,35.85,8.51,49.5,3301,28638.246,pequenoI
Córrego Danta,Oeste de Minas,813.17,18.74,2.35,47.01,6.93,31.39,2.29,42.08,3362,43984.327000000005,pequenoI
Córrego do Bom Jesus,Sul/Sudoeste de Minas,649.03,43.79,0.7,38.29,7.77,34.54,9.75,36.46,3725,18680.435,pequenoI
Córrego Fundo,Oeste de Minas,801.64,17.52,2.37,19.0,8.19,28.4,25.69,62.37,5761,111350.03,pequenoI
Córrego Novo,Vale do Rio Doce,577.46,18.05,1.02,49.82,5.39,36.93,1.04,58.24,3127,21259.912,pequenoI
Couto de Magalhães de Minas,Jequitinhonha,659.41,21.23,0.91,13.68,12.96,48.85,3.82,58.73,4177,26318.033,pequenoI
Crisólita,Vale do Mucuri,537.82,18.87,0.53,58.32,4.14,22.91,1.99,18.81,6036,29482.886000000002,pequenoI
Cristais,Oeste de Minas,1166.16,17.03,1.03,32.69,8.13,17.19,35.92,55.67,11217,91474.587,pequenoI
Cristália,Norte de Minas,364.26,6.66,0.17,55.98,3.53,25.32,2.84,31.54,5725,28155.005,pequenoI
Cristiano Otoni,Metropolitana de Belo Horizonte,795.99,24.93,0.88,20.07,15.56,37.84,5.99,54.95,5004,41386.46,pequenoI
Cristina,Sul/Sudoeste de Minas,719.12,27.75,1.28,34.24,7.55,31.02,16.71,41.7,10122,92542.004,pequenoI
Crucilândia,Metropolitana de Belo Horizonte,675.5,34.84,2.2,36.13,13.05,32.21,8.5,44.14,4744,31861.767000000003,pequenoI
Cruzeiro da Fortaleza,Triângulo Mineiro/Alto Paranaíba,1328.28,20.43,0.0,52.7,7.17,27.4,4.93,51.57,3934,41280.669,pequenoI
Cruzília,Sul/Sudoeste de Minas,869.3,19.55,3.1,21.81,14.96,37.32,12.03,56.32,14547,105049.161,pequenoI
Cuparaque,Vale do Rio Doce,672.61,22.0,0.83,32.4,10.21,36.85,3.64,34.99,4651,25568.481,pequenoI
Curral de Dentro,Norte de Minas,584.83,15.63,1.76,28.67,11.63,34.84,4.97,33.47,6894,38169.162000000004,pequenoI
Curvelo,Central Mineira,923.27,18.46,2.08,16.01,17.94,43.66,9.05,62.57,73637,800196.772,medioI
Datas,Jequitinhonha,468.57,19.24,0.25,45.22,7.79,26.65,6.18,39.87,5198,25427.234,pequenoI
Delfim Moreira,Sul/Sudoeste de Minas,702.06,26.64,1.78,38.65,10.09,29.63,9.13,44.63,7943,50817.42,pequenoI
Delfinópolis,Sul/Sudoeste de Minas,1104.61,20.54,0.42,17.03,8.1,38.15,16.44,53.78,6786,87556.369,pequenoI
Delta,Triângulo Mineiro/Alto Paranaíba,1032.36,7.56,0.08,8.53,4.85,23.64,46.37,84.31,7836,235187.147,pequenoI
Descoberto,Zona da Mata,701.07,18.47,3.77,10.24,11.51,30.24,38.2,61.26,4751,36998.051,pequenoI
Desterro de Entre Rios,Metropolitana de Belo Horizonte,533.75,25.13,0.0,44.87,9.58,29.83,2.7,33.99,6974,38513.181000000004,pequenoI
Desterro do Melo,Campo das Vertentes,459.98,30.45,0.0,52.73,10.84,26.88,2.13,34.88,2979,20585.822,pequenoI
Diamantina,Jequitinhonha,931.4,15.14,2.87,13.78,14.39,50.32,3.62,59.91,45453,381948.43,pequenoII
Diogo de Vasconcelos,Metropolitana de Belo Horizonte,445.37,20.09,1.04,55.85,6.71,24.07,1.57,30.68,3842,20119.27,pequenoI
Dionísio,Metropolitana de Belo Horizonte,731.38,20.49,1.21,33.13,10.6,29.82,11.08,54.7,8720,41651.193,pequenoI
Divinésia,Zona da Mata,693.81,22.15,2.31,26.24,6.33,31.95,28.6,52.42,3289,23020.856,pequenoI
Divino,Zona da Mata,614.86,32.72,2.61,54.15,10.27,23.29,5.74,29.26,18917,113315.898,pequenoI
Divino das Laranjeiras,Vale do Rio Doce,625.2,26.15,0.67,34.12,9.76,39.49,3.17,35.83,4933,25699.867000000002,pequenoI
Divinolândia de Minas,Vale do Rio Doce,522.23,14.85,1.96,33.66,9.46,33.87,4.44,32.16,7010,30201.76,pequenoI
Divinópolis,Oeste de Minas,1289.92,23.21,2.92,3.04,18.16,43.88,20.56,71.69,211866,3417488.595,medioII
Divisa Alegre,Norte de Minas,656.8,21.84,1.25,15.43,18.95,44.19,5.19,42.46,5863,53488.592000000004,pequenoI
Divisa Nova,Sul/Sudoeste de Minas,784.86,18.29,1.26,58.87,6.74,23.75,3.47,61.3,5727,47038.922999999995,pequenoI
Divisópolis,Jequitinhonha,487.15,20.27,1.28,48.93,9.9,30.09,1.78,31.04,8937,42083.015999999996,pequenoI
Dom Bosco,Noroeste de Minas,632.04,20.51,0.75,52.88,4.25,30.93,6.59,35.59,3795,28359.197,pequenoI
Dom Cavati,Vale do Rio Doce,712.81,25.89,2.05,15.96,15.92,45.18,7.05,42.53,5181,27701.884,pequenoI
Dom Joaquim,Metropolitana de Belo Horizonte,474.73,20.38,0.17,42.03,7.14,33.76,0.97,29.93,4515,26465.601000000002,pequenoI
Dom Silvério,Zona da Mata,663.21,18.81,3.14,24.41,15.54,34.87,15.55,50.64,5158,48993.907,pequenoI
Dom Viçoso,Sul/Sudoeste de Minas,612.93,36.71,0.98,46.37,7.54,30.6,10.31,38.9,2992,16349.146999999999,pequenoI
Dona Eusébia,Zona da Mata,820.09,24.13,1.72,13.52,28.84,27.04,25.77,50.36,5981,35993.852,pequenoI
Dores de Campos,Campo das Vertentes,850.18,19.82,4.95,3.78,12.3,24.01,50.51,60.65,9246,110621.04400000001,pequenoI
Dores de Guanhães,Vale do Rio Doce,581.87,13.57,1.48,34.71,7.91,36.23,1.71,40.88,5213,31432.798,pequenoI
Dores do Indaiá,Central Mineira,958.07,19.44,2.74,22.9,14.94,38.19,9.24,51.54,13677,121479.946,pequenoI
Dores do Turvo,Zona da Mata,582.14,19.93,2.64,49.48,10.44,27.39,4.91,31.6,4441,20679.756,pequenoI
Doresópolis,Oeste de Minas,714.18,28.12,0.2,44.82,10.84,30.91,4.59,47.34,1437,15348.695,pequenoI
Douradoquara,Triângulo Mineiro/Alto Paranaíba,777.14,22.79,0.7,36.91,6.91,31.13,4.73,33.72,1839,26723.815,pequenoI
Durandé,Zona da Mata,630.53,22.33,0.93,57.16,5.54,19.87,13.92,24.16,7417,49010.768,pequenoI
Elói Mendes,Sul/Sudoeste de Minas,921.97,18.97,1.36,31.12,12.47,34.04,8.28,57.94,25125,312673.488,pequenoII
Engenheiro Caldas,Vale do Rio Doce,794.75,23.26,0.9,24.92,13.15,38.15,11.34,45.92,10275,65096.2,pequenoI
Engenheiro Navarro,Norte de Minas,570.57,17.58,0.81,45.44,7.57,30.41,6.91,46.88,7065,39323.773,pequenoI
Entre Folhas,Vale do Rio Doce,580.82,20.05,0.17,43.69,11.8,29.42,4.51,33.4,5168,25126.246,pequenoI
Entre Rios de Minas,Metropolitana de Belo Horizonte,908.89,24.31,2.43,20.19,11.71,39.09,5.61,57.44,14147,98117.02,pequenoI
Ervália,Zona da Mata,613.35,24.46,2.01,52.89,9.07,24.05,6.19,32.99,17889,150990.051,pequenoI
Esmeraldas,Metropolitana de Belo Horizonte,790.23,16.49,0.78,9.08,15.34,44.39,10.57,63.73,59853,325445.957,medioI
Espera Feliz,Zona da Mata,733.1,17.42,5.47,46.48,12.37,28.72,3.67,39.07,22714,180098.996,pequenoII
Espinosa,Norte de Minas,445.72,23.41,0.84,37.91,14.76,26.19,10.04,31.79,30924,149107.535,pequenoII
Espírito Santo do Dourado,Sul/Sudoeste de Minas,632.11,33.41,0.29,54.73,6.0,18.54,15.77,38.77,4426,32955.867999999995,pequenoI
Estiva,Sul/Sudoeste de Minas,767.93,44.65,1.32,59.34,11.68,17.33,4.66,31.47,10845,140890.101,pequenoI
Estrela Dalva,Zona da Mata,1177.29,15.29,1.83,29.46,6.45,45.73,5.25,53.52,2470,17339.214,pequenoI
Estrela do Indaiá,Central Mineira,864.29,14.34,0.95,38.37,7.79,40.0,2.76,54.45,3473,51086.382000000005,pequenoI
Estrela do Sul,Triângulo Mineiro/Alto Paranaíba,881.48,18.04,0.25,48.27,8.52,28.79,4.35,62.27,7383,452050.297,pequenoI
Eugenópolis,Zona da Mata,681.01,22.76,1.52,30.51,10.09,27.28,21.2,50.39,10467,69131.97099999999,pequenoI
Ewbank da Câmara,Zona da Mata,720.35,16.36,0.0,6.92,9.88,47.43,11.57,72.34,3725,21748.351000000002,pequenoI
Extrema,Sul/Sudoeste de Minas,1081.48,16.92,1.14,6.85,11.22,35.02,31.7,72.26,28466,1884763.511,pequenoII
Fama,Sul/Sudoeste de Minas,798.61,24.37,0.65,39.73,9.85,32.74,1.41,47.3,2324,27423.304,pequenoI
Faria Lemos,Zona da Mata,751.83,25.48,1.94,43.81,9.07,36.04,3.6,54.7,3363,27357.155,pequenoI
Felício dos Santos,Jequitinhonha,335.55,23.81,0.31,49.47,9.77,31.03,1.86,29.55,5131,24537.722999999998,pequenoI
São Gonçalo do Rio Preto,Jequitinhonha,469.53,14.68,0.69,34.32,5.68,42.22,3.67,44.22,3043,17265.36,pequenoI
Felisburgo,Jequitinhonha,470.07,20.85,0.52,38.53,9.19,42.09,2.48,25.4,6746,33087.965,pequenoI
Felixlândia,Central Mineira,724.56,20.55,1.13,34.96,12.98,33.65,4.97,50.0,14006,186493.592,pequenoI
Fernandes Tourinho,Vale do Rio Doce,561.96,22.67,0.18,40.67,12.28,33.83,2.44,36.7,3027,18080.721999999998,pequenoI
Ferros,Metropolitana de Belo Horizonte,598.5,16.31,1.08,47.4,8.8,30.6,3.01,38.66,10764,63308.038,pequenoI
Fervedouro,Zona da Mata,483.57,25.94,1.14,55.25,9.82,27.43,1.61,28.88,10296,55424.519,pequenoI
Florestal,Metropolitana de Belo Horizonte,974.97,16.8,1.97,26.73,10.01,41.42,10.39,56.03,6571,51734.27,pequenoI
Formiga,Oeste de Minas,1151.02,20.85,2.2,10.85,18.59,37.93,18.1,66.06,64484,879186.003,medioI
Formoso,Noroeste de Minas,711.48,22.05,1.47,42.12,12.03,32.43,2.23,31.12,8062,80369.57400000001,pequenoI
Fortaleza de Minas,Sul/Sudoeste de Minas,865.98,16.15,0.66,31.33,6.88,29.11,7.18,63.33,4062,271615.715,pequenoI
Fortuna de Minas,Metropolitana de Belo Horizonte,700.77,14.2,0.61,23.84,2.86,42.81,7.68,56.02,2695,21282.674,pequenoI
Francisco Badaró,Jequitinhonha,343.91,13.93,0.74,65.46,6.5,20.55,2.72,32.42,10211,34737.003,pequenoI
Francisco Dumont,Norte de Minas,519.05,22.61,1.49,43.6,12.88,26.97,3.12,35.4,4836,29193.923,pequenoI
Francisco Sá,Norte de Minas,621.52,17.1,1.04,39.41,11.49,33.14,3.01,35.72,24439,150876.281,pequenoII
Franciscópolis,Vale do Mucuri,478.99,28.15,0.8,60.26,5.89,21.5,2.36,17.74,5790,26175.672000000002,pequenoI
Frei Gaspar,Vale do Mucuri,447.47,15.95,0.6,56.84,5.37,28.12,2.65,27.71,5854,31229.91,pequenoI
Frei Inocêncio,Vale do Rio Doce,666.37,17.19,1.04,20.39,16.46,43.79,4.86,39.19,8667,50275.125,pequenoI
Frei Lagonegro,Vale do Rio Doce,356.81,18.56,0.3,58.6,2.75,30.85,0.87,24.62,3319,15063.98,pequenoI
Fronteira,Triângulo Mineiro/Alto Paranaíba,993.39,15.59,0.24,19.73,8.35,33.84,19.9,65.6,13898,808504.594,pequenoI
Fronteira dos Vales,Vale do Mucuri,466.26,23.63,0.75,45.31,6.38,39.08,2.38,27.87,4676,20574.47,pequenoI
Fruta de Leite,Norte de Minas,326.59,6.24,0.12,64.37,2.23,24.25,1.23,32.77,5928,22844.612,pequenoI
Frutal,Triângulo Mineiro/Alto Paranaíba,1248.61,23.7,2.2,18.98,17.3,37.38,13.23,61.84,53170,775520.923,medioI
Funilândia,Metropolitana de Belo Horizonte,630.3,15.9,0.0,24.53,7.97,36.81,5.92,48.93,3783,26613.455,pequenoI
Galiléia,Vale do Rio Doce,789.25,19.23,2.99,24.8,9.7,40.19,6.7,42.47,6914,40059.324,pequenoI
Gameleiras,Norte de Minas,351.42,16.51,0.29,53.05,6.53,29.1,2.46,18.11,5127,28450.194,pequenoI
Glaucilândia,Norte de Minas,400.03,20.93,0.0,53.16,4.92,26.28,6.39,34.01,2959,15752.402,pequenoI
Goiabeira,Vale do Rio Doce,736.87,14.95,7.17,26.43,13.42,41.74,2.99,37.78,3043,17735.235,pequenoI
Goianá,Zona da Mata,729.3,19.73,5.5,24.76,12.31,42.37,10.06,57.9,3646,24611.243,pequenoI
Gonçalves,Sul/Sudoeste de Minas,679.08,17.72,4.38,36.8,9.6,35.08,7.3,35.67,4206,31309.301,pequenoI
Gonzaga,Vale do Rio Doce,486.61,12.09,0.32,34.56,8.95,31.28,1.95,30.32,5879,23936.271,pequenoI
Gouveia,Jequitinhonha,611.52,15.46,1.31,21.55,14.9,30.37,20.01,54.09,11637,93093.32199999999,pequenoI
Governador Valadares,Vale do Rio Doce,1123.63,23.22,2.0,4.69,21.33,48.74,8.9,62.82,261663,3454061.21,medioII
Grão Mogol,Norte de Minas,484.67,20.96,0.35,38.63,10.59,35.81,2.56,31.96,14929,204903.332,pequenoI
Grupiara,Triângulo Mineiro/Alto Paranaíba,838.47,21.33,0.65,26.63,4.74,56.87,0.84,66.25,1373,15003.006000000001,pequenoI
Guanhães,Vale do Rio Doce,970.98,21.79,3.38,21.98,18.14,38.0,5.52,50.03,31146,314399.691,pequenoII
Guapé,Sul/Sudoeste de Minas,742.73,33.33,0.32,43.65,7.81,27.0,5.03,51.04,13798,105031.65800000001,pequenoI
Guaraciaba,Zona da Mata,481.78,18.6,0.67,52.07,5.65,26.91,3.97,31.12,10094,44385.812999999995,pequenoI
Guaraciama,Norte de Minas,460.47,30.47,0.16,61.1,5.34,24.65,2.36,42.04,4718,24466.487,pequenoI
Guaranésia,Sul/Sudoeste de Minas,879.94,14.41,1.3,31.13,10.38,25.1,25.96,72.62,18503,269425.372,pequenoI
Guarani,Zona da Mata,832.64,19.05,0.65,19.47,9.65,38.2,18.92,62.26,8560,67244.11200000001,pequenoI
Guarará,Zona da Mata,697.38,18.7,0.82,14.55,12.34,37.61,23.93,64.93,3923,32662.926,pequenoI
Guarda-Mor,Noroeste de Minas,1182.05,27.84,1.13,52.2,6.79,29.68,3.7,43.35,6521,186763.553,pequenoI
Guaxupé,Sul/Sudoeste de Minas,1085.02,17.71,2.43,16.95,17.45,35.73,15.3,73.34,49148,1002735.561,pequenoII
Guidoval,Zona da Mata,695.64,23.2,1.42,18.67,11.01,26.14,33.13,58.85,7173,71269.685,pequenoI
Guimarânia,Triângulo Mineiro/Alto Paranaíba,963.34,28.48,1.47,37.25,8.63,28.29,8.24,49.84,7243,65724.12,pequenoI
Guiricema,Zona da Mata,692.61,34.2,2.07,42.59,10.58,23.4,16.05,36.6,8689,59562.77099999999,pequenoI
Gurinhatã,Triângulo Mineiro/Alto Paranaíba,859.83,24.5,1.36,49.69,5.94,25.91,2.72,43.72,5946,68044.622,pequenoI
Heliodora,Sul/Sudoeste de Minas,787.85,35.05,1.37,53.9,7.34,20.19,11.33,49.54,6094,52136.832,pequenoI
Iapu,Vale do Rio Doce,769.96,23.8,2.21,31.66,12.65,32.25,5.25,46.62,10298,47737.359000000004,pequenoI
Ibertioga,Campo das Vertentes,584.24,22.42,0.98,37.1,10.09,32.86,6.77,42.54,4995,32863.556000000004,pequenoI
