nome_mun,nome_meso,renocup,cpr,emp,p_agro,p_com,p_serv,p_transf,p_formal,popul,pib,porte
Ubaporanga,Vale do Rio Doce,535.08,32.77,1.85,49.09,11.6,24.85,5.44,39.55,12025,59873.78599999999,pequenoI
Uberaba,Triângulo Mineiro/Alto Paranaíba,1467.59,20.72,2.3,5.16,16.48,49.34,12.79,72.97,292644,7299719.536,medioII
Uberlândia,Triângulo Mineiro/Alto Paranaíba,1501.35,20.35,3.12,3.77,17.82,50.67,10.23,71.42,600747,18950577.499,grandeI
Umburatiba,Vale do Mucuri,638.18,21.62,2.0,35.75,10.73,43.3,1.63,36.23,2687,17087.194,pequenoI
Unaí,Noroeste de Minas,1104.26,21.99,2.96,22.13,17.67,41.12,5.77,52.0,76546,1330067.636,medioI
União de Minas,Triângulo Mineiro/Alto Paranaíba,931.66,22.67,0.55,48.03,7.78,29.63,5.35,57.88,4336,74834.617,pequenoI
Uruana de Minas,Noroeste de Minas,585.32,13.92,0.83,43.53,6.75,30.37,5.59,36.25,3156,26122.652000000002,pequenoI
Urucânia,Zona da Mata,669.43,11.46,0.29,35.41,9.61,30.0,13.79,67.02,10273,98907.043,pequenoI
Urucuia,Norte de Minas,518.7,18.56,0.46,41.71,12.83,29.78,2.09,26.17,13539,60820.09,pequenoI
Vargem Alegre,Vale do Rio Doce,712.12,25.61,1.22,31.58,12.79,35.32,10.96,39.67,6435,34327.2,pequenoI
Vargem Bonita,Oeste de Minas,721.37,26.56,0.94,51.13,5.51,28.48,4.87,44.16,2156,23316.725,pequenoI
Vargem Grande do Rio Pardo,Norte de Minas,402.11,9.32,0.34,43.15,9.48,28.76,5.77,27.62,4733,21342.216,pequenoI
Varginha,Sul/Sudoeste de Minas,1382.27,17.49,2.88,5.94,18.38,46.41,15.51,75.86,122584,3234145.348,medioII
Varjão de Minas,Noroeste de Minas,939.85,9.03,0.77,43.68,8.9,24.47,16.21,73.62,5983,86348.832,pequenoI
Várzea da Palma,Norte de Minas,750.99,18.05,0.63,22.32,14.13,30.09,22.16,58.46,35740,552174.91,pequenoII
Varzelândia,Norte de Minas,399.1,20.5,0.99,52.4,10.06,27.25,1.76,30.92,19056,79341.52799999999,pequenoI
Vazante,Noroeste de Minas,1011.21,19.77,1.93,22.53,10.2,37.43,8.46,58.34,19596,340207.024,pequenoI
Verdelândia,Norte de Minas,486.72,10.69,0.0,54.05,7.46,29.7,1.64,37.55,8294,48770.404,pequenoI
Veredinha,Jequitinhonha,385.61,10.46,0.62,47.72,9.4,25.54,4.35,34.75,5538,39435.595,pequenoI
Veríssimo,Triângulo Mineiro/Alto Paranaíba,963.8,23.78,1.0,37.9,5.8,26.6,19.22,59.51,3254,70057.848,pequenoI
Vermelho Novo,Zona da Mata,500.62,33.58,0.16,68.9,3.59,20.07,2.56,18.3,4684,24795.333,pequenoI
Vespasiano,Metropolitana de Belo Horizonte,912.1,15.11,0.46,0.93,15.27,50.67,10.67,75.97,104081,1561162.1609999998,medioII
Viçosa,Zona da Mata,1306.37,16.58,3.9,8.19,15.15,56.38,6.12,66.24,71976,797394.505,medioI
Vieiras,Zona da Mata,623.71,29.09,1.91,46.3,6.65,33.35,4.46,44.97,3731,26450.882999999998,pequenoI
Mathias Lobato,Vale do Rio Doce,781.71,11.19,1.86,28.32,6.87,48.76,2.79,25.67,3370,18300.487,pequenoI
Virgem da Lapa,Jequitinhonha,462.31,24.63,1.08,49.88,6.19,29.12,4.36,35.03,13604,56939.738,pequenoI
Virgínia,Sul/Sudoeste de Minas,623.13,30.91,1.03,43.0,7.92,27.31,14.88,33.09,8566,65983.276,pequenoI
Virginópolis,Vale do Rio Doce,721.13,18.39,1.87,31.57,10.21,39.09,3.61,39.19,10473,66415.344,pequenoI
Virgolândia,Vale do Rio Doce,479.07,21.97,0.54,46.06,6.85,34.79,1.84,16.64,5645,27528.023999999998,pequenoI
Visconde do Rio Branco,Zona da Mata,903.09,16.07,2.75,7.56,13.76,40.39,28.69,71.99,37864,628151.5179999999,pequenoII
Volta Grande,Zona da Mata,892.39,11.72,0.12,20.27,8.53,46.02,6.75,66.66,5061,103455.271,pequenoI
Wenceslau Braz,Sul/Sudoeste de Minas,771.03,19.06,0.0,25.92,5.63,28.38,24.92,59.81,2545,15518.401000000002,pequenoI
